modzcta,borocd,overlap_sqft,zip_total_sqft,area_weight
11236,317,9392744.847067228,96933527.99999535,0.09689882376991042
11236,316,1943192.9852897627,96933527.99999535,0.020046654912734177
11237,304,17812930.76304562,27360257.999989286,0.651051271631013
11237,301,9544032.396176659,27360257.999989286,0.3488283040379369
11238,308,13175275.080750784,30798181.999982987,0.42779392240613623
11238,302,10583645.732635548,30798181.999982987,0.34364514543882474
11238,303,2690019.6056322483,30798181.999982987,0.0873434544166839
11239,305,9239156.504396716,11592083.999999495,0.7970229084258809
11239,318,2351023.677940067,11592083.999999495,0.20281285728607293
11354,407,61179346.370500214,61183373.99997839,0.9999341711773172
11355,407,48634270.90986755,48634669.80645579,0.9999917981022626
11356,407,43964963.985900596,43990372.00000481,0.9994224187487158
11357,407,78320763.26567559,78365584.00003207,0.9994280558879461
11358,407,35773763.583419934,54323390.000001155,0.6585333423304248
11358,411,18549626.416722838,54323390.000001155,0.34146665767218215
11360,407,31593362.214449912,45744638.000017196,0.6906462395535414
11360,411,14147328.418268042,45744638.000017196,0.3092674690804794
11361,411,49747472.927381076,49748549.99999106,0.9999783496682821
11362,411,70875162.0078081,70880448.00001685,0.9999254238318479
11363,411,23171993.59991267,23674182.000000667,0.9787875078392156
11364,411,57228198.83563378,68905223.9999596,0.8305349799844977
11364,408,11676950.735104619,68905223.9999596,0.16946393984745575
11365,408,35578959.79915911,70171053.99999702,0.507031856741964
11365,407,18156197.854892768,70171053.99999702,0.25874198576087426
11365,411,16435896.346019715,70171053.99999702,0.23422615749822445
11366,408,30538563.53156093,30538826.000028357,0.9999914054172409
11367,408,49349910.30430964,71520497.99999899,0.6900107197842825
11367,407,3528394.208823832,71520497.99999899,0.04933402741160838
11368,404,24135831.010208327,74325472.00000474,0.32473162108148856
11368,403,15389543.602167532,74325472.00000474,0.20705611667244508
11368,407,6882188.517158921,74325472.00000474,0.09259528842492223
11369,403,30278374.222495936,60897017.99998647,0.4972061886922388
11370,401,24955797.244358215,40876973.99998586,0.610509898417795
11370,403,15551814.60021971,40876973.99998586,0.38045415495347307
11372,403,20312440.11738166,20616680.00001936,0.9852430225119944
11372,402,219543.82404413127,20616680.00001936,0.010648844723977143
11372,404,84696.05859357092,20616680.00001936,0.0041081327640285145
11373,404,40207993.651643425,42557475.99999657,0.9447927234135469
11373,405,1173784.9860386131,42557475.99999657,0.027581170134213497
11373,406,938975.7944899002,42557475.99999657,0.022063709663843217
11373,402,235076.17554284137,42557475.99999657,0.005523733962579461
11374,406,25091184.22273456,26122385.999981407,0.9605242117910828
11374,405,850268.7772533281,26122385.999981407,0.03254943010389377
11374,404,180932.99999349492,26122385.999981407,0.006926358105022401
11375,406,54164017.976763114,55252805.99998931,0.9802944302371466
11375,404,165457.3167197469,55252805.99998931,0.002994550479839502
11377,402,53407456.95374904,70941202.0000158,0.7528411620899396
11377,401,13698128.868009895,70941202.0000158,0.1930912992989158
11377,403,1918405.5594499179,70941202.0000158,0.02704219135516608
11377,404,964594.9576112104,70941202.0000158,0.013597104791246638
11377,405,952615.6611957048,70941202.0000158,0.013428242464731465
11378,405,49093545.36442751,71708115.99999708,0.6846302497255612
11378,402,22612294.259774614,71708115.99999708,0.3153380052513935
11379,405,57828046.16364361,57829451.99998457,0.9999756899591413
11385,405,99343249.06861545,101647790.0000195,0.9773281747551658
11385,406,2295689.967454033,101647790.0000195,0.022584750415661693
11411,413,33101258.525603652,33517616.000014253,0.9875779508181481
11411,412,415137.7838515227,33517616.000014253,0.01238565964391221
11412,412,45890530.82966213,45891500.000008285,0.9999788812667672
11413,413,72849739.86652322,87436665.99999176,0.8331715194462022
11413,412,14585024.309102867,87436665.99999176,0.16680672967453083
11414,410,62688436.9465608,63977515.99996564,0.9798510612164822
11415,409,16216031.367211219,16947942.00000418,0.956814188248179
11415,406,208192.49341993773,16947942.00000418,0.012284234476368068
11415,408,77815.05186787921,16947942.00000418,0.004591415988316459
11416,409,18543509.16359747,18545428.00001605,0.9998965331822712
11417,410,30775336.710368417,30989973.999999404,0.9930739764534494
11417,409,214415.8670696839,30989973.999999404,0.006918878572459855
11418,409,32007000.312638085,45666711.999990515,0.7008825227584752
11419,409,16062470.50998893,31507886.0000015,0.5097920726889822
11419,410,15444467.305470208,31507886.0000015,0.49017783374833435
11420,410,58693323.30402277,58694941.99999809,0.9999724218830419
11421,409,24332894.78365314,35667922.00001596,0.682206683743512
11421,405,1144016.640549106,35667922.00001596,0.03207410402401895
11422,413,54786741.686830364,56474037.99999082,0.970122619651162
11423,412,25649638.763803996,39439022.00000578,0.6503619375703646
11423,408,13789320.045415372,39439022.00000578,0.3496364601894375
11426,413,37653790.604438074,37656799.99999925,0.9999200836087726
11427,413,30312446.896694344,43999010.00000337,0.6889347486839368
11427,411,10138430.523842186,43999010.00000337,0.2304240600832021
11427,408,3204504.2399229663,43999010.00000337,0.07283128052023718
11427,412,343628.33959588874,43999010.00000337,0.007809910713806116
11428,413,22956567.67842647,23157853.999985963,0.9913080753700402
11428,412,201066.5451033042,23157853.999985963,0.008682434266293676
11429,413,43365981.19523067,43693444.00002311,0.9925054476183597
11429,412,324325.8729719913,43693444.00002311,0.007422758274028931
11432,408,46826930.770060495,59894863.9999767,0.7818188011926818
11432,412,13067933.229912568,59894863.9999767,0.2181811988072575
